addr_string,matched_addr,lat,long
"2100 PFINGSTEN RD, GLENVIEW, IL, 60026","GLENBROOK HOSPITAL, 2100, PFINGSTEN ROAD, GLENVIEW, COOK COUNTY, ILLINOIS, 60026, USA",42.09247545,-87.85407304
"9600 GROSS POINT RD, SKOKIE, IL, 60076","SKOKIE HOSPITAL, 9600, GROSS POINT ROAD, SKOKIE, COOK COUNTY, ILLINOIS, 60076, USA",42.0563106,-87.74037745
"9650 GROSS POINT RD, SKOKIE, IL, 60076","9650, GROSS POINT ROAD, SKOKIE, COOK COUNTY, ILLINOIS, 60076, USA",42.05612313,-87.73911974
"2650 RIDGE AVE, EVANSTON, IL, 60201","EVANSTON HOSPITAL, 2650, RIDGE AVENUE, NORTH EVANSTON, EVANSTON, COOK COUNTY, ILLINOIS, 60201, USA",42.066132,-87.68429042
"1300 OAK AVE, EVANSTON, IL, 60201","1300, OAK AVENUE, DOWNTOWN, EVANSTON, COOK COUNTY, ILLINOIS, 60201, USA",42.0415249,-87.68734090000001
"2213 CHERRY ST, TOLEDO, OH, 43608","MERCY SAINT VINCENT MEDICAL CENTER, 2213, CHERRY STREET, BIRCKHEAD PLACE, TOLEDO, LUCAS COUNTY, OHIO, 43608, USA",41.66858445,-83.54269392
"2222 CHERRY ST, TOLEDO, OH, 43608","2222, CHERRY STREET, BIRCKHEAD PLACE, TOLEDO, LUCAS COUNTY, OHIO, 43608, USA",41.66884651,-83.54188601
"3404 W SYLVANIA AVE, TOLEDO, OH, 43623","MERCY HEALTH — ST. ANNE HOSPITAL, 3404, WEST SYLVANIA AVENUE, FRANKLIN PARK, TOLEDO, LUCAS COUNTY, OHIO, 43623, USA",41.69324665,-83.62524334
"1027 TOWN CTR DR, ORANGE CITY, FL, 32763","1027, TOWN CENTER DRIVE, ORANGE CITY, VOLUSIA COUNTY, FLORIDA, 32763, USA",28.90677724,-81.28698707
"1035 TOWN CTR DR, ORANGE CITY, FL, 32763","1035, TOWN CENTER DRIVE, ORANGE CITY, VOLUSIA COUNTY, FLORIDA, 32763, USA",28.90661927,-81.28716279
"1055 SAXON BLVD, ORANGE CITY, FL, 32763","FLORIDA HOSPITAL FISH MEMORIAL, 1055, SAXON BOULEVARD, ORANGE CITY, VOLUSIA COUNTY, FLORIDA, 32763, USA",28.915330400000002,-81.28491733
"801 OSTRUM ST, BETHLEHEM, PA, 18015","SAINT LUKE'S UNIVERSITY HOSPITAL - BETHLEHEM CAMPUS, 801, OSTRUM STREET, FOUNTAIN HILL, LEHIGH COUNTY, PENNSYLVANIA, 18015, USA",40.60928045,-75.3931974
"1021 PARK AVE, QUAKERTOWN, PA, 18951","SAINT LUKE'S HOSPITAL QUAKERTOWN CAMPUS, 1021, PARK AVENUE, QUAKERTOWN, BUCKS COUNTY, PENNSYLVANIA, 18951, USA",40.438722,-75.34886283
"757 WESTWOOD PLZ, LOS ANGELES, CA, 90095","RONALD REAGAN UCLA MEDICAL CENTER, 757, WESTWOOD PLAZA, WESTWOOD VILLAGE, WESTWOOD, LA, LOS ANGELES COUNTY, CALIFORNIA, 90095, USA",34.0664646,-118.4465068
"7401 MAIN ST, HOUSTON, TX, 77030","7401, FANNIN STREET, HOUSTON, HARRIS COUNTY, TEXAS, 77030, USA",29.701103999999997,-95.409001
"930 CHESTNUT RIDGE RD, MORGANTOWN, WV, 26505","CHESTNUT RIDGE ROAD, VIRGINIA MANOR, MORGANTOWN, MONONGALIA COUNTY, WEST VIRGINIA, 26505, USA",39.657898700000004,-79.95890899999999
"1 MEDICAL CTR DR, MORGANTOWN, WV, 26506","RUBY MEMORIAL HOSPITAL, 1, MEDICAL CENTER DRIVE, THE FLATTS, MORGANTOWN, MONONGALIA COUNTY, WEST VIRGINIA, 26506, USA",39.65446155,-79.95906632
"3815 N VERMILION ST, DANVILLE, IL, 61832","3815, NORTH VERMILION STREET, DANVILLE, VERMILION COUNTY, ILLINOIS, 61832, USA",40.19525866,-87.62943545
"9 PLEASANT ST, OAKLAND, ME, 04963","9, PLEASANT STREET, OAKLAND, KENNEBEC COUNTY, MAINE, 04963, USA",44.54839439,-69.71374178
"311 E CALIFORNIA ST, GAINESVILLE, TX, 76240","EAST CALIFORNIA STREET, GAINESVILLE, COOKE COUNTY, TEXAS, 76240, USA",33.6241662,-97.12709699999999
"410 BOLIVAR ST, SANGER, TX, 76266","410, BOLIVAR STREET, SANGER, DENTON COUNTY, TEXAS, 76266, USA",33.36218396,-97.17252601
"4900 BROAD RD, SYRACUSE, NY, 13215","UPSTATE UNIVERSITY HOSPITAL COMMUNITY CAMPUS, 4900, BROAD ROAD, ELMWOOD, SYRACUSE, TOWN OF ONONDAGA, ONONDAGA COUNTY, NEW YORK, 13215, USA",43.00726375,-76.16808353
"813 FAY RD, SYRACUSE, NY, 13219","813, FAY ROAD, WESTVALE, TOWN OF GEDDES, ONONDAGA COUNTY, NEW YORK, 13219, USA",43.03494379,-76.20877861
"2401 S 31ST ST, TEMPLE, TX, 76508","TEXAS A&M COLLEGE OF MEDICINE, 2401, SOUTH 31ST STREET, TEMPLE, BELL COUNTY, TEXAS, 76508, USA",31.076984799999998,-97.3625747
"3000 HERRING AVE, WACO, TX, 76708","OLD HILLCREST HOSPITAL, 3000, HERRING AVENUE, WACO, MCLENNAN COUNTY, TEXAS, 76708, USA",31.558994399999996,-97.1744939
"540 LITCHFIELD ST, TORRINGTON, CT, 06790","CHARLOTTE HUNGERFORD HOSPITAL, 540, LITCHFIELD STREET, TORRINGTON, LITCHFIELD COUNTY, CONNECTICUT, 06790, USA",41.79227045,-73.13376945
"1501 KRAFFT RD, FORT GRATIOT, MI, 48059","1501, KRAFFT ROAD, PORT HURON, SAINT CLAIR COUNTY, MICHIGAN, 48060, USA",43.025309,-82.448098
"1269 PARKER RD SE, CONYERS, GA, 30094","1269, PARKER ROAD SOUTHEAST, CONYERS, ROCKDALE COUNTY, GEORGIA, 30094, USA",33.6560268,-84.02042464
"3200 KEARNEY ST, FREMONT, CA, 94538","3200, KEARNEY STREET, CENTERVILLE DISTRICT, FREMONT, ALAMEDA COUNTY, CALIFORNIA, 94538, USA",37.54916022,-121.9748289
"2676 E AURORA RD, TWINSBURG, OH, 44087","2676, EAST AURORA ROAD, TWINSBURG, SUMMIT COUNTY, OHIO, 44087, USA",41.31134198,-81.44447640000001
"1202 S TYLER ST, COVINGTON, LA, 70433","SAINT TAMMANY PARISH HOSPITAL, 1202, SOUTH TYLER STREET, COVINGTON, ST. TAMMANY PARISH, LOUISIANA, 70433, USA",30.4682646,-90.11391089
"13652 CANTARA ST, PANORAMA CITY, CA, 91402","13652, CANTARA STREET, PANORAMA CITY, LA, LOS ANGELES COUNTY, CALIFORNIA, 91402, USA",34.21976159,-118.42969209999998
"571 MAIN ST, WEYMOUTH, MA, 02190","571, MAIN STREET, WEYMOUTH, NORFOLK COUNTY, MASSACHUSETTS, 02190, USA",42.187117,-70.955632
"4901 LAC DE VILLE BLVD, ROCHESTER, NY, 14618","LAC DE VILLE BOULEVARD, BRIGHTON, BRIGHTON TOWN, MONROE COUNTY, NEW YORK, 14618, USA",43.112214,-77.5931614
"901 NEVIN AVE, RICHMOND, CA, 94801","KAISER PERMANENTE RICHMOND MEDICAL CENTER, 901, NEVIN AVENUE, IRON TRIANGLE, RICHMOND, CONTRA COSTA COUNTY, CALIFORNIA, 94801, USA",37.9373338,-122.36096909999999
"210 SIMMONS ST, MARYVILLE, TN, 37801","210, SIMMONS STREET, MARYVILLE, BLOUNT COUNTY, TENNESSEE, 37801, USA",35.75128974,-83.97838341
"2570 HAYMAKER RD, MONROEVILLE, PA, 15146","FORBES HOSPITAL, 2570, HAYMAKER ROAD, MONROEVILLE, ALLEGHENY COUNTY, PENNSYLVANIA, 15146, USA",40.4289169,-79.7482277
"320 E N AVE, PITTSBURGH, PA, 15212","ALLEGHENY GENERAL HOSPITAL, 320, EAST NORTH AVENUE, CENTRAL NORTHSIDE, PGH, ALLEGHENY COUNTY, PENNSYLVANIA, 15212, USA",40.45696955,-80.00331139
"4800 FRIENDSHIP AVE, PITTSBURGH, PA, 15224","WESTERN PENNSYLVANIA HOSPITAL, 4800, FRIENDSHIP AVENUE, BLOOMFIELD, PGH, ALLEGHENY COUNTY, PENNSYLVANIA, 15224, USA",40.4612409,-79.94609008
"970 FREEPORT RD, PITTSBURGH, PA, 15238","FREEPORT ROAD, LINCOLN-LEMINGTON, LINCOLN-LEMINGTON-BELMAR, PGH, ALLEGHENY COUNTY, PENNSYLVANIA, 15215X, USA",40.4866437,-79.8906874
"0 -100, FAIR LAWN, NJ, 07410","FAIR LAWN, BERGEN COUNTY, NEW JERSEY, 07410, USA",40.9403762,-74.1318096
"161 E MAIN ST, DENVILLE, NJ, 07834","DENVILLE MEDICAL, 161, EAST MAIN STREET, DENVILLE, MORRIS COUNTY, NEW JERSEY, 07834, USA",40.887369,-74.479612
"1086 FRANKLIN ST, JOHNSTOWN, PA, 15905","CONEMAUGH MEMORIAL MEDICAL CENTER, 1086, FRANKLIN STREET, FERNDALE, CAMBRIA COUNTY, PENNSYLVANIA, 15905, USA",40.3058405,-78.91824395
"75 N COUNTRY RD, PORT JEFFERSON, NY, 11777","JOHN T. MATHER MEMORIAL HOSPITAL, 75, NORTH COUNTRY ROAD, PORT JEFFERSON, SUFFOLK COUNTY, NEW YORK, 11777, USA",40.9396773,-73.05330679
"3327 COLBY AVE, EVERETT, WA, 98201","3327, COLBY AVENUE, LOWELL, EVERETT, SNOHOMISH COUNTY, WASHINGTON, 98201, USA",47.973484899999995,-122.2082808
"365 W 1ST ST, TUSTIN, CA, 92780","365, WEST 1ST STREET, BROWNING, TUSTIN, ORANGE COUNTY, CALIFORNIA, 92780, USA",33.74573452,-117.82661359999999
"125 INDIAN ROCK RD, WINDHAM, NH, 03087","COCO, EARLY & ASSOCIATES, 125, INDIAN ROCK ROAD, WINDHAM, ROCKINGHAM COUNTY, NEW HAMPSHIRE, 03087, USA",42.807255700000006,-71.2628045
