Category,ITM ID,Source ID,Match Score,Match Type,Mark As,ITM Business name,ITM Address -1,ITM City,ITM State,ITM Zip,Source Business name,Source Address -1,Source City,Source State,Source Zip
,24023365,1365,80%,Moderate,,METHODIST RETAIL PHARMACY               ,1801 N SENATE BLVD STE 105              ,INDIANAPOLIS             ,IN,46202,IU Health Methodist Hospital,1701 N Senate Blvd,Indianapolis,IN,46202
,18761531,594676,80%,Moderate,,CANCER CTR OF KANSAS - EL DORA          ,700 W CENTRAL AVE STE 100               ,EL DORADO                ,KS,67042,El Dorado Internal Medicine Llc,"700 West Central Avenue, Suite 201",El Dorado,KS,67042
,22897298,695028,80%,Moderate,,WALGREENS                               ,1135 116TH AVE NE STE 105               ,BELLEVUE                 ,WA,98004,Washington Urology and Urogynecology Associates PLLC,"1135 116th Ave Ne, Suite 620",Bellevue,WA,98004
,34923130,636300,80%,Moderate,,INFUSION CLINIC AT MCI MOBILE           ,1660 SPRING HILL AVE                    ,MOBILE                   ,AL,36604,Diagnostic and Medical Clinic,1700 Spring Hill Ave,Mobile,AL,36604
,53522862,4454,80%,Moderate,,MEDICAL PARK PHCY-RETAIL                ,1 MEDICAL PARK                          ,WHEELING                 ,WV,26003,Wheeling Hospital,1 Medical Park,Wheeling,WV,26003
,31200338,553008,80%,Moderate,,NOVANT HEALTH PHARMACY                  ,200 HAWTHORNE LN                        ,CHARLOTTE                ,NC,28204,Mid-Atlantic Emergency Medical Associates,200 Hawthorne Ln,Charlotte,NC,28204
,35888420,658452,80%,Moderate,,THE UNIVERSITY OF VERMONT HEALTH NETWORK,75 BEEKMAN ST                           ,PLATTSBURGH              ,NY,12901,Adirondack Radiation Therapy PC,75 Beekman St,Plattsburgh,NY,12901
,26805293,702528,80%,Moderate,,CANCER CTR OF KANSAS - PARSONS          ,1902 STATE US HWY 59                    ,PARSONS                  ,KS,67357,Parsons Pediatrics Clinic,"1902 S Us Highway 59, Suite 5",Parsons,KS,67357
,28943902,2475,80%,Moderate,,THE BROADWAY PHARMACY                   ,500 W BROADWAY ST                       ,MISSOULA                 ,MT,59802,Providence St Patrick Hospital,500 W Broadway St,Missoula,MT,59802
,34428139,550662,80%,Moderate,,UMASS MEM RX EDI PHS                    ,119 BELMONT ST                          ,WORCESTER                ,MA,01605,UMass Memorial Medical Group,365 Plantation St,Worcester,MA,01605
