Category,ITM ID,Source ID,Match Score,Match Type,Mark As,ITM Business name,ITM Address -1,ITM City,ITM State,ITM Zip,Source Business name,Source Address -1,Source City,Source State,Source Zip,ITM concat addr,Source concat addr,ITM lat,ITM long,Source lat,Source long,Distance (in km),Distance Flag
,24023365,1365,80%,Moderate,,METHODIST RETAIL PHARMACY               ,1801 N SENATE BLVD STE 105              ,INDIANAPOLIS             ,IN,46202,IU Health Methodist Hospital,1701 N Senate Blvd,Indianapolis,IN,46202,"1801 N SENATE BLVD STE 105              ,INDIANAPOLIS             ,IN,46202","1701 N SENATE BLVD,INDIANAPOLIS,IN,46202",39.78971,-86.16557,,,,0
,18761531,594676,80%,Moderate,,CANCER CTR OF KANSAS - EL DORA          ,700 W CENTRAL AVE STE 100               ,EL DORADO                ,KS,67042,El Dorado Internal Medicine Llc,"700 West Central Avenue, Suite 201",El Dorado,KS,67042,"700 W CENTRAL AVE STE 100               ,EL DORADO                ,KS,67042","700 WEST CENTRAL AVENUE, SUITE 201,EL DORADO,KS,67042",37.81741,-96.858345,,,,0
,22897298,695028,80%,Moderate,,WALGREENS                               ,1135 116TH AVE NE STE 105               ,BELLEVUE                 ,WA,98004,Washington Urology and Urogynecology Associates PLLC,"1135 116th Ave Ne, Suite 620",Bellevue,WA,98004,"1135 116TH AVE NE STE 105               ,BELLEVUE                 ,WA,98004","1135 116TH AVE NE, SUITE 620,BELLEVUE,WA,98004",,,,,,0
,34923130,636300,80%,Moderate,,INFUSION CLINIC AT MCI MOBILE           ,1660 SPRING HILL AVE                    ,MOBILE                   ,AL,36604,Diagnostic and Medical Clinic,1700 Spring Hill Ave,Mobile,AL,36604,"1660 SPRING HILL AVE                    ,MOBILE                   ,AL,36604","1700 SPRING HILL AVE,MOBILE,AL,36604",30.692438,-88.076923,30.692390999999997,-88.077904,0.05837621727320095,1
,53522862,4454,80%,Moderate,,MEDICAL PARK PHCY-RETAIL                ,1 MEDICAL PARK                          ,WHEELING                 ,WV,26003,Wheeling Hospital,1 Medical Park,Wheeling,WV,26003,"1 MEDICAL PARK                          ,WHEELING                 ,WV,26003","1 MEDICAL PARK,WHEELING,WV,26003",40.05853955,-80.6845955206454,40.05853955,-80.6845955206454,0.0,1
,31200338,553008,80%,Moderate,,NOVANT HEALTH PHARMACY                  ,200 HAWTHORNE LN                        ,CHARLOTTE                ,NC,28204,Mid-Atlantic Emergency Medical Associates,200 Hawthorne Ln,Charlotte,NC,28204,"200 HAWTHORNE LN                        ,CHARLOTTE                ,NC,28204","200 HAWTHORNE LN,CHARLOTTE,NC,28204",35.2127722,-80.8243454,35.2127722,-80.8243454,0.0,1
,35888420,658452,80%,Moderate,,THE UNIVERSITY OF VERMONT HEALTH NETWORK,75 BEEKMAN ST                           ,PLATTSBURGH              ,NY,12901,Adirondack Radiation Therapy PC,75 Beekman St,Plattsburgh,NY,12901,"75 BEEKMAN ST                           ,PLATTSBURGH              ,NY,12901","75 BEEKMAN ST,PLATTSBURGH,NY,12901",44.7008404,-73.4691461567899,44.7008404,-73.4691461567899,0.0,1
,26805293,702528,80%,Moderate,,CANCER CTR OF KANSAS - PARSONS          ,1902 STATE US HWY 59                    ,PARSONS                  ,KS,67357,Parsons Pediatrics Clinic,"1902 S Us Highway 59, Suite 5",Parsons,KS,67357,"1902 STATE US HWY 59                    ,PARSONS                  ,KS,67357","1902 S US HIGHWAY 59, SUITE 5,PARSONS,KS,67357",,,,,,0
,28943902,2475,80%,Moderate,,THE BROADWAY PHARMACY                   ,500 W BROADWAY ST                       ,MISSOULA                 ,MT,59802,Providence St Patrick Hospital,500 W Broadway St,Missoula,MT,59802,"500 W BROADWAY ST                       ,MISSOULA                 ,MT,59802","500 W BROADWAY ST,MISSOULA,MT,59802",46.87514785,-114.000263514346,46.87514785,-114.000263514346,0.0,1
,34428139,550662,80%,Moderate,,UMASS MEM RX EDI PHS                    ,119 BELMONT ST                          ,WORCESTER                ,MA,01605,UMass Memorial Medical Group,365 Plantation St,Worcester,MA,01605,"119 BELMONT ST                          ,WORCESTER                ,MA,01605","365 PLANTATION ST,WORCESTER,MA,01605",42.27290905,-71.7922374433663,42.27713865,-71.7664393153938,1.3508873729213826,0
